CLIENTNUM,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
768805383,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,9.3448e-05,0.99991
818770008,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,5.6861e-05,0.99994
713982108,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,2.1081e-05,0.99998
769911858,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0.00013366,0.99987
709106358,4716.0,0,4716.0,2.175,816,28,2.5,0.0,2.1676e-05,0.99998
713061558,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,5.5077e-05,0.99994
810347208,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0.00012303,0.99988
818906208,29081.0,1396,27685.0,2.204,1538,36,0.7140000000000001,0.048,8.5795e-05,0.99991
710930508,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,4.4796e-05,0.99996
719661558,11656.0,1677,9979.0,1.524,1441,32,0.882,0.14400000000000002,0.00030251,0.9997
708790833,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0.00019094,0.99981
710821833,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0.00019751,0.9998
710599683,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,4.7799e-05,0.99995
816082233,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,9.6126e-05,0.9999
712396908,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0.00011382,0.99989
714885258,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,6.3492e-05,0.99994
709967358,30367.0,2362,28005.0,1.7080000000000002,1671,27,0.929,0.078,0.00023623,0.99976
753327333,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.00014953,0.99985
806160108,3193.0,2517,676.0,1.831,1336,30,1.143,0.7879999999999999,0.00017468,0.99983
709327383,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,5.5077e-05,0.99994
806165208,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,5.703e-05,0.99994
708508758,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.99616,0.0038363
784725333,4470.0,680,3790.0,1.608,931,18,1.571,0.152,6.9242e-05,0.99993
811604133,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.00020735,0.99979
789124683,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.00021042,0.99979
771071958,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,5.7151e-05,0.99994
720466383,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,5.0256e-05,0.99995
804424383,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0.00018558,0.99981
718813833,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0.00012144,0.99988
806624208,4785.0,1362,3423.0,0.7390000000000001,1045,38,0.9,0.285,7.6642e-06,0.99999
778348233,2753.0,1811,942.0,0.977,1038,25,2.571,0.6579999999999999,0.00021834,0.99978
712991808,2451.0,1690,761.0,1.3230000000000002,1596,26,1.6,0.69,0.00012458,0.99988
709029408,8923.0,2517,6406.0,1.726,1589,24,1.6669999999999998,0.282,5.7762e-05,0.99994
788658483,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0.00018612,0.99981
787937058,12555.0,1696,10859.0,0.519,1291,24,0.7140000000000001,0.135,9.7673e-05,0.9999
715318008,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,6.2639e-05,0.99994
713962233,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0.00019864,0.9998
785432733,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0.00035532,0.99964
715190283,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0.00016883,0.99983
708300483,7882.0,605,7277.0,1.052,704,16,0.14300000000000002,0.077,0.9978,0.00219708
827111283,32426.0,578,31848.0,1.042,1109,28,0.474,0.018000000000000002,0.00011811,0.99988
758551608,6205.0,2204,4001.0,0.8029999999999999,1347,28,0.556,0.355,2.2331e-05,0.99998
773146383,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0.00015785,0.99984
778493808,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,6.9242e-05,0.99993
720572508,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0.00031726,0.99968
712661433,34516.0,0,34516.0,1.621,1444,28,1.3330000000000002,0.0,0.00020643,0.99979
789172683,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,6.0759e-05,0.99994
738406533,2548.0,2020,528.0,2.357,1719,27,1.7,0.7929999999999999,0.00015460000000000002,0.99985
799723908,19458.0,1435,18023.0,0.787,1217,27,0.8,0.07400000000000001,0.00030516,0.99969
771490833,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,3.031e-05,0.99997
720756708,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0.00020516,0.99979
